Username,Video URL,Views,Likes,Comments,Favorites,Shares,Hook,Music,Caption,Face/Faceless,Video Language,Format Type,Hashtags,,hook                       nutella stuffed pancakes basic recipe'                  ,Frequency,,Frequency,,Frequency,,Frequency,,Frequency,,Frequency
Mayra Wendolyne,https://www.tiktok.com/@lowcarblove/video/7405392091737640238,8200000,298000,858,134800,34700,Viral Cucumber Salad,original sound,TRYING THE VIRAL CUCUMBER SALAD! 🥒 @Logan ,faceless,english,video,#weightlosstransformation #weightlossfood #lowcarbrecipes #viralcucumbersalad #logancucumber ,,buldak,1,,,#6ix9nine,1,,,,,brown.,9
TIFFY COOKS 🥟,https://www.tiktok.com/@tiffycooks/video/7377414236005207301,8200000,571100,2352,156800,50600,OF MY DAD'S CHEMO CRAVINGS,original sound,"Welcome back to ep.3 of my dad’s chemo cravings, since we been back from Japan he has been CRAVING Japanese Egg Sandwich so let’s make it together! Even though chemo is hard, we actually get excited for my dad’s cravings because it’s always so fun eating together.  Sending love to anyone battling cancer, or if someone you love is battling. We got this ❤️ Full recipe link in bio :)  ",faceless,english,video,#japanesefood #egg #eggsandwich #dad #cancersucks #storytime #homecooking #cravingsatisfied ,,bun,1,,,#911pizza,1,,,,,brush,9
миллион алых роз,https://www.tiktok.com/@million.alich.ros/video/7480945102941130006,8200000,567600,4880,30800,19300,ASMR',"Peer Gynt Suite, Morning mood",#мукбанг ,face,english,video,#мукбанг ,,burgers',1,,,#@midssauce,1,,,,,"chicken,",9
миллион алых роз,https://www.tiktok.com/@petre.andrei.catana/video/7370019029668416801,8200000,591500,3949,57100,33900,making coke (coca cola) from scratch',Tchaikovsky-Waltz of the Flowers,everyone’s favourite drink ,face,english,video,#coke #cocacola #homemade #softdrink ,,burnt,1,,,#aeroplanejelly,1,,,,,cold,9
aymenacooks,https://vt.tiktok.com/ZSun12B23/,4800000,978.5K,3311,162.2K,42.6K,whats your favorite restaurant' idk probably my house,Little Life - Robert Gomotka,which one’s your favourite?? ib: @Claudia Harrington,faceless,english,slideshow,#FoodTok #aestheticfood #recipes #cooking #baking,,burrata',1,,,#aestheticfood,1,,,,,cooled,9
"
recipeincaption
",https://vt.tiktok.com/ZSun1tonH/,9800000,315.9K,3114,146.5K,62.3K,Dinners you'll actually make,Mr. Blue Sky - Electric Light Orchestra,"For ALL of you asking - the app link for Osta is in my bio or you can search “Osta Recipes” on the App Store or Google Play store ‼️🫶

Crispy buttermilk chicken tenders, addictive Cane’s sauce and fluffy texas toast… all at home! 

For the Chicken:
-2 lbs (0.9 kg) chicken breast, sliced into strips (or use tenderloins)
-2 cups buttermilk
-1/3 cup pickle juice
-Seasonings: 1 tsp garlic powder, 1 tsp paprika, 1 tsp onion powder, 1 tsp salt, 1 tsp black pepper
-Neutral oil, for frying
Flour Mixture:
-2 cups all-purpose flour +1/2 cup cornstarch
-1 tsp baking powder
-Seasonings: 2 tsp garlic powder, 2 tsp paprika, 2 tsp salt, 2 tsp black pepper
Cane’s Sauce
-1/2 cup mayonnaise
-1/4 cup ketchup
-2 tsp Worcestershire sauce
-Seasonings: 1 tsp garlic powder, 1 tsp onion powder, 1 tsp paprika, 1 tsp black pepper, 1 tsp seasoning salt

Instructions:
1. Slice the chicken breasts into strips about 1 inch thick and 3–4 inches long (roughly tender-sized).
In a bowl, whisk together the buttermilk, pickle juice, and chicken seasonings until fully combined.
Add the chicken and toss to coat. Cover and refrigerate for at least 2 hours, or overnight for extra tender chicken.
2. In a large bowl, combine the flour, cornstarch, baking powder, and flour mixture seasonings. Mix.
3. Add neutral oil to a large pot or deep skillet until it is about 2–3 inches deep. Heat the oil to 350°F / 175°C.  Keeping the oil around this temperature ensures crispy chicken without burning the coating.
4. Drizzle a little buttermilk marinade into the flour mixture and stir to create flaky, crispy bits. Shake excess marinade off the chicken, then coat each piece thoroughly in the flour mixture. Shake off any extra flour and gently place into the hot oil.
5. Don’t touch them for the first 1–2 mins, that’s how you get the perfect crust. Fry for 7–10 mins, or until golden brown and cooked through. Transfer the chicken to a paper towel-lined rack to drain.
6. In a bowl, combine all the sauce ingredients then refrigerate. 
7. Serve the chicken with a side of sauce, texas toast & crinkle fries… Enjoy :)",faceless,english,video,#dinner #raisingcanes #chicken #tiktokrecipe #recipesoftiktok #dinneridea #homecooking,,burritos,1,,,#aestheticvideos,1,,,,,cucumber,9
.nadyglxup,https://vt.tiktok.com/ZSunS3hXo/,9000000,129.4K,1845,22.9K,"1,786",Eat better,hypnotic - super slowed - isq,#healthyfood #recipe #fyp #viral #glowup ,faceless,english,video,#healthyfood #recipe #fyp #viral #glowup ,,burritos',1,,,#ai,1,,,,,double,9
mynavey_vibes,https://vt.tiktok.com/ZSunAmC4G/,6700000,342.4K,3037,54.3K,17.6K,N/A,original sound - lilisa_wang - 浩宇,Flan caramel ice coffee 🍮☕️,faceless,english,video,#algerie🇩🇿 #fyp #fypシ゚viral #naveyvibes #arianagrande ,,buy,1,,,#airbake,1,,,,,drain,9
moribyan,https://www.tiktok.com/@moribyan/video/7616108157886008590?is_from_webapp=1&sender_device=pc,3700000,206.8K,451,57K,26.9K,N/A,original sound,"Crispy Chicken Shawarma! I finally tried this back in January in LA and we’ve been craving it ever since but there’s no where to get it here so at home it is 🤎

Full recipe up on the blog as always - www.moribyan.com - or tap the link in bio!",face,english,video,#recipe #shawarma #food #dinner #cooking,,cajun,1,,,#airbaking,1,,,,,e,9
aflavorfulbite,https://www.tiktok.com/@aflavorfulbite/video/7566237194558491917?is_from_webapp=1&sender_device=pc,152900000,11.1M,30.8K,3.9M,2.6M,crispy beef tacos 🌮✨,Congratulations - Piano Version,"crispy beef tacos 🌮  - cheesy ground beef tacos with a crispy tortilla shell served with homemade cilantro lime sauce 

🔗 full recipe is on my website link in bio 💗",faceless,english,video,#beef #tacos #Recipes #Foodtok,,cake?,1,,,#airbakingbyelixer,1,,,,,eating,9
keilapacheco,https://www.tiktok.com/@keilapacheco/video/7612744885656931598?is_from_webapp=1&sender_device=pc,40700000,1.8M,12.7K,118.8K,417.6K,N/A,original sound,SMASH BURGER🍔 HAD TO COME BACK TO SEE IF IT WAS A ONE HIT WONDER😋 Whats ur fav burger spot?😊❤️,face,english,video,#tannersprimeburgers #burger#giantburger#burgermukbang#mukbang#mukbangeatingshow#mukbangfoodasmr#eatingshow#eatwithme#foodvideo#foodasmr#bigbites#asmrsounds#asmreating#asmrvideo   ,,cake?',1,,,#airfry,1,,,,,everything,9
emmasfooddiary,https://www.tiktok.com/@emmasfooddiaries/video/7600618522653314312?is_from_webapp=1&sender_device=pc,2800000,490.8K,1296,35.3K,7503,fortunately for my roommates I bake when I'm stressed,"l'amore dice ciao (from ""la matriarca the libertine"")",Freshly baking chocolate chip cookies 😍😍 >>> ,faceless,english,video,#girltherapy #baking #baketok #chocolatechipcookies #fyp ,,call,1,,,#airfryerchicken,1,,,,,half,9
cooking_recipescr,https://www.tiktok.com/@cooking_recipescr/video/7598662468918922510?is_from_webapp=1&sender_device=pc,10500000,115.3K,3361,13.4K,19K,N/A,original sound,#recipes #easyrecipe #cooking #dinnerideas #yummyfood #dinnermadeeasy #foodtok #homecooking #quickrecipes #simplemeals #easycooking #foodideas #whatsfordinner #familymeals #tasty #comfortfood #fyp #foryou #foryoupage #viralfood #foodtrend,faceless,english,video,#recipes #easyrecipe #cooking #dinnerideas #yummyfood #dinnermadeeasy #foodtok #homecooking #quickrecipes #simplemeals #easycooking #foodideas #whatsfordinner #familymeals #tasty #comfortfood #fyp #foryou #foryoupage #viralfood #foodtrend,,calling,1,,,#airfryercorn,1,,,,,"heat,",9
ayline.ea,https://www.tiktok.com/@ayline.ea/video/7611219493079010563?is_from_webapp=1&sender_device=pc,7100000,277.5K,749,134K,93.1K,N/A,original sound,"Smoky Chipotle Chicken Wrap

If you love bold, smoky flavors, this one’s for you. Using @Chosen Foods Classic Mayo and 100% Pure Avocado Oil makes this chipotle chicken wrap extra creamy, juicy, and delicious. ",face,english,video,#chosenpartner,,calorie,1,,,#airfryerdesserts,1,,,,,it's,9
colacoca0900,https://www.tiktok.com/@colacoca0900/video/7598025460680903966?is_from_webapp=1&sender_device=pc,4700000,777.5K,8467,50.6K,595.6K,Showing you food cuz im evil and want u to be hungry,original sound - COCA,#food #mukbang #tiktokfood #foryoupage #fypシ ,faceless,english,video,#food #mukbang #tiktokfood #foryoupage #fypシ ,,calories',1,,,#airfryergarlicbread,1,,,,,its,9
smar_ria,https://www.tiktok.com/@smar_ria/video/7595830770028006663?is_from_webapp=1&sender_device=pc,8000000,1M,2538,57K,77.8K,Cuando tu mamá cocina,WE ALL KNOW NO ONE - FACE NO ONE,🤯🫡,face,spanish,video,#comida #cocina #rico #humor #madre,,cals',1,,,#airfryerlasagne,1,,,,,keep,9
katieswaiting,https://www.tiktok.com/@katieswaiting/video/7616110376614219022?is_from_webapp=1&sender_device=pc,13600000,1.7M,35.1K,193.7K,278.6K,holy shit,Careless Whisper - George Michael,some life changing mac ,faceless,english,video,#macncheese #food #cheese #yumyum ,,came,1,,,#airfryerrecipe,1,,,,,knorr,9
beohaliglc8,https://www.tiktok.com/@beohaliglc8/video/7594546651650346260?is_from_webapp=1&sender_device=pc,4300000,183.4K,1046,18.7K,17.7K,N/A,original sound,SUB)매콤한 사천짜파게티에 뽀득뽀득 킬바사 먹방 (ft.파김치&겉절이) spicy chapagetti kielbasa mukbang ASMR,face,english,video,#大食い #mukbang #大胃王 #asmr #ryomaASMR #shorts #먹방 #음식 #asmr먹방 #대식가 #맛있다 #한식 #kfood #koreanfood #shots,,cannelloni,1,,,#airfryerseries,1,,,,,layer,9
aflavorfulbite,https://www.tiktok.com/@aflavorfulbite/video/7610410662052859149?is_from_webapp=1&sender_device=pc,5000000,261.9K,370,88.7K,56.4K,crispy cheesy beef taquitos ✨,original sound,"crispy cheesy beef taquitos ✨ - crispy beef and cheese taquitos with homemade avocado lime sauce 

🔗 full recipe is on my website link in bio ✨",faceless,english,video,#taquitos #EasyRecipe #foodtiktok,,can’t,1,,,#airfryersmores,1,,,,,lime,9
zainasalv,https://www.tiktok.com/@zainasalv/video/7617079027639127328?is_from_webapp=1&sender_device=pc,15800000,1.8M,3232,79.7K,378.4K,Me when I get kidnapped and they tell me to order a pizza but instead of calling 911 I actually call for pizza,original sound,#pizza #911pizza #fypppppppppppppp #pizzamukbang #relatable ,face,english,video,#pizza #911pizza #fypppppppppppppp #pizzamukbang #relatable ,,caramel',1,,,#airfyer,1,,,,,looking,9
cooking_with.kian,https://www.tiktok.com/@cooking_with.kian/video/7604176036208610574?is_from_webapp=1&sender_device=pc,1800000,215.4K,930,36.3K,19.6K,N/A,original sound,"Homemade Raising Cane’s!

Recipe on my YouTube",face,english,video,N/A,,caramelized,1,,,#ajiwokgisachallenge,1,,,,,makes,9
archersfood,https://www.tiktok.com/@archersfood/video/7609043578295192854?is_from_webapp=1&sender_device=pc,454400000,3.2M,22.9K,519.1K,630.7K,chocolate nutella pancakes archersfood.com,Sixty Second Commercial 1 by Michael Reynolds - malcolm,"Comment “YES” or “RECIPE” on this video on instagram and I’ll send you the link to the full free recipe!

Chocolate Nutella pancakes 

Where to find the recipe: 
- you can click the link in my bio, it will take you to my website and then, search Chocolate Nutella pancakes 
- or visit
🔗 https://archersfood.com/chocolate-nutella-pancakes/

(or comment YES or RECIPE on my instagram and I’ll DM the link to you!)

Search online: Chocolate Nutella pancakes 
 archersfood

Make sure you follow us or have the DMs open so we can send you the link, enjoy  
",faceless,english,video,#creatorsearchinsights #creatorinsights #nutellapancake #chocolatepancakes #pancakes,,carb,1,,,#alfredopasta,1,,,,,noodles,9
archersfood,https://www.tiktok.com/@archersfood/video/7610135716886056214?is_from_webapp=1&sender_device=pc,20000000,1.3M,6374,234.3K,445.7K,Nutella chocolate rolls archersfood.com,original sound - cherry,"Comment “YES” or “RECIPE” on this video on instagram and I’ll send you the link to the full free recipe!

Nutella chocolate rolls

Where to find the recipe: 
- you can click the link in my bio, it will take you to my website and then, search Nutella chocolate rolls
- or visit
🔗 https://archersfood.com/nutella-chocolate-rolls/

(or comment YES or RECIPE on my instagram and I’ll DM the link to you!)

Search online: Nutella chocolate rolls
 archersfood

Make sure you follow us or have the DMs open so we can send you the link, enjoy 
",faceless,english,video,#creatorsearchinsights #creatorinsights #nutellarolls #nutelladessert #chocolaterolls ,,carbo,1,,,#algerie🇩🇿,1,,,,,nutella,9
cookingwzainab,https://www.tiktok.com/@cookingwzainab/video/7548826611722833174?is_from_webapp=1&sender_device=pc,,122.2K,300,26K,26.3K,POV: you're home alone,original sound,It’s an addiction at this point ,faceless,english,video,#ramen  #dumplings  #steakramen  #lazygirl  #foodtok  ,,carnita,1,,,#alhamdulillah,1,,,,,off,9
nhinjasushi,https://www.tiktok.com/@nhinjasushi/video/7602042714913262879?is_from_webapp=1&sender_device=pc,3200000,266.9K,3174,12.6K,196.7K,you've been selected to buy me sushi 🤭,original sound - 🎧,Send this to someone that owes you sushi ,faceless,english,video,#sushi #funny #oklahoma #nhinja #okc ,,carrot,1,,,#almoco,1,,,,,onto,9
aflavorfulbite,https://www.tiktok.com/@aflavorfulbite/video/7615590207886331150?is_from_webapp=1&sender_device=pc,23800000,677.4K,1799,223.7K,176.9K,crispy honey chipotle chicken tacos 🍯🌶️✨,"Beanie - Piano Version - penguin piano
","crispy honey chipotle chicken tacos 🍯🌶️✨ - crispy tacos filled with honey chipotle chicken and cheese and served w/homemade chipotle crema sauce and homemade pico de gallo

🔗 full recipe is on my website link in bio 💗",faceless,english,video,#honey #chipotle #chickentacos #Recipe #foodtok,,carrots,1,,,#amazon,1,,,,,package,9
foodhello00,https://www.tiktok.com/@foodhello00/video/7604787989130087693?is_from_webapp=1&sender_device=pc,10100000,1.1M,5273,47.9K,393.5K,N/A,original sound,#foodtour #food #trending #fyp #streetfood ,faceless,english,video,#foodtour #food #trending #fyp #streetfood ,,case,1,,,#amazonblackfridayweek,1,,,,,part,9
stoney_choi,https://www.tiktok.com/@stoney_choi/video/7605161793777962260?is_from_webapp=1&sender_device=pc,12900000,390.4K,2627,26.7K,16.3K,🥫🧀🥐🥓🥚,Married Life - Gina Luciani,Sausage ,face,english,video,#mukbang #asmr #tiktokfood #fyp ,,casserole,1,,,#amazonfavorites,1,,,,,que,9
lolaa.mts,https://www.tiktok.com/@lolaa.mts/video/7592963725519277344?is_from_webapp=1&sender_device=pc,705900,103.9K,450,16.1K,4107,eat clean,оригінальний звук - 𒌐тракторꑭ,"eat clean, not less!🥗🌟🍵💖 ",faceless,english,video,#healthyfood #eatclean #fy #viral #foodtok ,,castella,1,,,#amazonfinds,1,,,,,roasted,9
iamsarah_sarah,https://www.tiktok.com/@iamsarah_sarah/video/7614568624233123086?is_from_webapp=1&sender_device=pc,3900000,230K,648,49.9K,12.5K,I'll be home in 15 minutes,Raindance - Dave & Tems,"One-Pan Creamy Tagliatelle

Ingredients:
200 g tagliatelle pasta
10-12 cherry tomatoes, cubed
½ red onion, sliced
1 handful fresh spinach
3 garlic cloves, grated 
2 tbsp pasta sauce 
2 tbsp olive oil
1 tsp Italian seasoning 
100 ml cooking cream
250-300 ml vegetable broth (add more if needed)
Salt & pepper to taste
Grated Parmesan, for topping
Shrimp 

Instructions:
1. In a large pan, layer the tagliatelle, cherry tomatoes, spinach, onion, and garlic.
2. Drizzle with olive oil, add pasta sauce, seasoning, cream, and vegetable broth.
3. Cover and cook over medium heat for about 15 minutes, stirring a few times.
4. Add a bit more broth if it gets too dry.
5. When the pasta is creamy and tender, top with Parmesan cheese and shrimp. 
6. Serve hot and enjoy!
",faceless,english,video,"#easyrecipeideas 
#easyrecipe
#belgica
#quickeasymeals 
#easyrecipes",,cats,1,,,#amazonfr,1,,,,,rolls,9
